Date,Close,Volume,Open,High,Low,Range,prev_day_close,vix_open,vix_close,vix_range
2016-06-16,108.04,32060450,107.17,108.14,106.5,1.5281401416325016,106.49,20.8,19.37,17.327320199382875
2016-06-15,107.72,24546730,108.32,108.44,107.54,0.8334105009723043,108.04,20.25,20.14,9.314227226202663
2016-06-14,108.03,24517990,107.78,108.415,107.24,1.0897034615473893,107.72,21.28,20.5,8.908790949799673
2016-06-13,108.03,25340830,108.34,108.93,107.89,0.959321095839873,108.03,18.24,20.97,16.04113110539846
2016-06-10,108.94,32941260,109.2,109.4,108.56,0.7707836300238606,108.03,14.89,17.03,15.413300186451204
2016-06-09,110.19,17556520,109.93,110.31,109.71,0.5454049631851728,108.94,14.01,14.64,5.963938973647707
2016-06-08,110.37,14551740,110.37,110.6,109.96,0.5803409503083067,110.19,13.84,14.08,4.075795495173402
2016-06-07,110.18,12156190,110.53,110.63,110.13,0.452980612429788,110.37,12.77,14.05,9.936496077698916
2016-06-06,110.46,12493600,110.25,110.75,110.07,0.6158862421882138,110.18,13.84,13.65,6.139400505597687
2016-06-03,110.06,20256300,110.37,110.42,109.34,0.9828904259191831,110.46,13.78,13.47,12.772133526850505
2016-06-02,110.58,15629880,110.13,110.59,109.53,0.9631110303470855,110.06,14.42,13.63,9.110021023125443
2016-06-01,110.35,19548630,110.0,110.6,109.91,0.6258219581878353,110.58,14.45,14.2,7.2714916751614025
2016-05-31,110.34,24069300,110.28,110.51,109.7837,0.6593924383675148,110.35,13.94,14.19,10.896309314586999
2016-05-27,110.13,19857690,109.65,110.14,109.61,0.48236632536973933,110.34,13.49,13.12,5.373134328358215
2016-05-26,109.56,21865810,109.35,109.7,109.09,0.5576123223182041,110.13,13.8,13.43,4.9382716049382696
2016-05-25,109.24,38458380,108.86,109.57,108.684,0.8118980637239142,109.56,14.19,13.9,4.933857704683586
2016-05-24,108.46,29876610,106.92,108.59,106.885,1.582550179835246,109.24,16.03,14.42,11.17685733070348
2016-05-23,106.33,15713530,106.55,106.97,106.23,0.6941838649155675,108.46,16.33,15.82,6.714778788829612
2016-05-20,106.47,29521200,105.74,106.9,105.67,1.1572658418403388,106.33,16.13,15.2,7.577204711875208
2016-05-19,105.31,27213040,105.45,105.705,104.54,1.108230873504713,106.47,16.37,16.33,8.075449454759784
2016-05-18,105.86,28086110,105.29,106.43,105.04,1.3146072728992295,105.31,15.72,15.95,10.277689115863387
2016-05-17,105.48,29901070,106.74,107.04,105.2,1.7338861666038479,105.86,14.57,15.57,10.718954248366016
2016-05-16,106.82,18299860,105.67,107.21,105.56,1.5509705315598925,105.48,15.72,14.68,11.235955056179783
2016-05-13,105.5,21047420,105.85,106.449,105.29,1.0947440008689866,106.82,15.15,15.04,10.190217391304348
2016-05-12,105.89,29132550,106.68,106.735,105.14,1.5056047197640108,105.5,14.55,14.41,10.010214504596531
2016-05-11,106.36,20902180,107.16,107.49,106.33,1.0850247872041874,105.89,13.92,14.69,10.007147962830597
2016-05-10,107.33,21063580,106.26,107.38,106.07,1.227453736237997,106.36,13.98,13.63,5.734767025089598
2016-05-09,105.88,18904400,105.61,106.37,105.54,0.7833514227738173,107.33,15.2,14.57,8.254397834912048
2016-05-06,105.58,29933580,104.51,105.6,104.4,1.1428571428571321,105.88,16.2,14.72,11.952700543304553
2016-05-05,105.02,20738550,105.43,105.66,104.81,0.8077160640471271,105.58,15.54,15.91,7.767603410167342
2016-05-04,105.05,27385350,105.12,105.4811,104.7902,0.6571510234634962,105.02,15.47,16.05,9.057071960297773
2016-05-03,105.73,38170050,105.96,106.4399,105.45,0.9343531711516136,105.05,14.92,15.6,9.639323332269399
2016-05-02,106.72,24798260,105.97,106.87,105.5525,1.2404524002871726,105.73,16.33,14.68,13.040671400903806
2016-04-29,105.72,67498020,106.22,106.495,104.88,1.528089887640458,106.72,15.21,15.7,13.624999999999998
